Rk,Player,Tm,FGP,Opp,W-or-L,MP,FG,FGA,FG_PERCENT,threeP,3PA,THREE_PERCENT,FT,FTA,FT_PERCENT,AST,TOV,PF,PTS,Usage,GmSc,FPM
175,Kentavious Caldwell-Pope,DEN,@,MIL,L,9:20,0,3,.000,0,1,.000,1,1,1.000,2,0,0,1,+1,0.9,caldwke01
176,Norman Powell,LAC,,MIN,L,16:33,2,7,.286,1,2,.500,1,2,.500,0,1,1,6,-22,0.7,powelno01
177,Taj Gibson,NYK,@,HOU,L,5:27,0,1,.000,0,0,,0,0,,1,0,2,0,+1,0.6,gibsota01
178,Alec Burks,NYK,@,HOU,L,16:55,1,8,.125,1,5,.200,2,2,1.000,2,1,1,5,-3,0.5,burksal01
179,DeAndre Jordan,DEN,@,MIL,L,4:17,0,0,,0,0,,1,2,.500,0,0,1,1,-10,0.5,jordade01
180,Jontay Porter,TOR,,SAS,L,6:56,1,2,.500,0,1,.000,0,0,,1,1,2,2,+2,0.5,portejo01
181,Chris Livingston,MIL,,DEN,W,2:12,0,0,,0,0,,0,0,,0,0,0,0,-6,0.3,livinch01
182,Garrison Mathews,ATL,,CHI,L,4:08,0,0,,0,0,,0,0,,0,0,0,0,-2,0.3,mathega01
183,Jalen McDaniels,TOR,,SAS,L,6:18,0,1,.000,0,1,.000,0,0,,1,0,0,0,+4,0.3,mcdanja01
184,Sam Merrill,CLE,,PHI,L,9:17,0,1,.000,0,1,.000,0,0,,1,0,0,0,-4,0.3,merrisa01
185,Immanuel Quickley,TOR,,SAS,L,25:32,2,12,.167,1,9,.111,2,2,1.000,3,3,2,7,-24,0.3,quickim01
186,A.J. Lawson,DAL,,WAS,W,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0.0,lawsoaj01
187,Kira Lewis,UTA,,GSW,L,2:16,0,0,,0,0,,0,0,,0,0,0,0,-2,0.0,lewiski01
188,Jordan McLaughlin,MIN,@,LAC,W,3:54,0,0,,0,0,,0,0,,0,0,0,0,-1,0.0,mclaujo01
189,Jordan Poole,WAS,@,DAL,L,26:30,1,12,.083,1,6,.167,0,0,,3,1,4,3,+4,0.0,poolejo01
190,Olivier-Maxence Prosper,DAL,,WAS,W,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0.0,prospol01
191,Ben Sheppard,IND,@,CHO,L,2:32,0,0,,0,0,,0,0,,0,0,0,0,-3,0.0,sheppbe01
192,Brandon Williams,DAL,,WAS,W,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0.0,willibr03
193,Devonte' Graham,SAS,@,TOR,W,6:18,0,1,.000,0,1,.000,0,0,,0,0,0,0,-4,-0.1,grahade01
194,Luka Šamanić,UTA,,GSW,L,2:16,0,0,,0,0,,0,0,,0,0,1,0,-2,-0.1,samanlu01
195,Gary Trent,TOR,,SAS,L,21:47,2,7,.286,0,0,,0,0,,0,2,1,4,-19,-0.2,trentga02
196,Daniel Theis,LAC,,MIN,L,4:54,0,0,,0,0,,0,0,,0,1,0,0,-10,-0.3,theisda01
197,Julian Champagnie,SAS,@,TOR,W,10:10,1,3,.333,0,2,.000,0,0,,0,1,0,2,0,-0.4,champju02
198,Keyonte George,UTA,,GSW,L,29:19,2,10,.200,1,6,.167,0,0,,4,2,1,5,-32,-0.5,georgke01
199,Lester Quinones,GSW,@,UTA,W,16:17,0,3,.000,0,2,.000,0,0,,2,1,1,0,-8,-0.5,quinole01
200,TyTy Washington,MIL,,DEN,W,2:46,0,1,.000,0,0,,0,0,,0,0,0,0,-5,-0.7,washity02
